epoch,loss,lr,val_loss
0,8.553322550142184e-05,1e-04,8.499772229697555e-05
1,8.430195885011926e-05,1e-04,8.33584344945848e-05
2,8.391689334530383e-05,1e-04,7.992508471943438e-05
3,8.508793689543381e-05,1e-04,8.434709889115766e-05
4,8.47407864057459e-05,1e-04,8.388097194256261e-05
5,8.361942309420556e-05,1e-04,8.474609785480425e-05
6,7.802255277056247e-05,1e-04,6.524110358441249e-05
7,6.648057023994625e-05,1e-04,5.4413845646195114e-05
8,6.185803795233369e-05,1e-04,5.2975832659285516e-05
9,5.684958887286484e-05,1e-04,5.05820571561344e-05
10,5.46483788639307e-05,1e-04,4.415569856064394e-05
11,5.1449194870656356e-05,1e-04,4.258450644556433e-05
12,5.2492185204755515e-05,1e-04,4.234802690916695e-05
13,4.866551171289757e-05,1e-04,4.9371537897968665e-05
14,4.594384881784208e-05,1e-04,4.14152855228167e-05
15,4.462782453629188e-05,1e-04,3.675616972032003e-05
16,4.190106483292766e-05,1e-04,3.583974466891959e-05
17,4.188760794932023e-05,1e-04,3.6602617910830304e-05
18,3.89741690014489e-05,1e-04,3.1948718969943e-05
19,3.830615969491191e-05,1e-04,2.9142829589545727e-05
20,3.629858838394284e-05,1e-04,2.7075640900875442e-05
21,3.4924356441479176e-05,1e-04,2.9905348128522746e-05
22,3.476989149930887e-05,1e-04,2.9974247809150256e-05
23,3.308552913949825e-05,1e-04,2.7358617444406264e-05
24,3.354506043251604e-05,1e-04,2.558331652835477e-05
25,3.0531755328411236e-05,1e-04,2.2732585421181284e-05
26,3.0341978344949894e-05,1e-04,2.412266439932864e-05
27,2.994032001879532e-05,1e-04,2.3322323613683693e-05
28,2.9112987249391153e-05,1e-04,2.573600249888841e-05
29,2.85234837065218e-05,1e-04,2.4134649720508605e-05
30,2.786498225759715e-05,1e-04,2.122244222846348e-05
31,2.6740484827314503e-05,1e-04,2.0490060705924407e-05
32,2.6408402845845558e-05,1e-04,2.291844430146739e-05
33,2.5435838324483484e-05,1e-04,2.472880260029342e-05
34,2.5467312298133038e-05,1e-04,2.113244408974424e-05
35,2.5361830921610817e-05,1e-04,2.1628029571729712e-05
36,2.336957913939841e-05,5e-05,1.9644376152427867e-05
37,2.3392794901155867e-05,5e-05,1.9702749341377057e-05
38,2.2864012862555683e-05,5e-05,1.942253584275022e-05
39,2.2570433429791592e-05,5e-05,1.7782140275812708e-05
40,2.277643943671137e-05,5e-05,1.928264282469172e-05
41,2.210385719081387e-05,5e-05,1.7011052477755584e-05
42,2.2131418518256396e-05,5e-05,1.9169710867572576e-05
43,2.2271422494668514e-05,5e-05,1.771660754457116e-05
44,2.171776577597484e-05,5e-05,1.9806326235993765e-05
45,2.1157533410587348e-05,2.5e-05,1.7933774870471098e-05
46,2.083393519569654e-05,2.5e-05,1.7501413822174072e-05
47,2.0768808099091984e-05,2.5e-05,1.7963813661481254e-05
48,2.03862800844945e-05,2.5e-05,1.6873791537364013e-05
49,2.0116069208597764e-05,2.5e-05,1.780359525582753e-05
50,2.019771454797592e-05,2.5e-05,1.7179176211357117e-05
51,2.051115734502673e-05,2.5e-05,1.7532733181724325e-05
52,1.9989585780422203e-05,1.25e-05,1.7929847672348842e-05
53,2.0080295143998228e-05,1.25e-05,1.6460789993288927e-05
54,1.953100763785187e-05,1.25e-05,1.7520407709525898e-05
55,1.9501116184983402e-05,1.25e-05,1.6593652617302723e-05
56,1.9540813809726387e-05,1.25e-05,1.673602127993945e-05
57,1.9467639504000545e-05,1.25e-05,1.676955071161501e-05
58,1.951465310412459e-05,1.25e-05,1.781449645932298e-05
59,1.9141902157571167e-05,6.25e-06,1.701900691841729e-05
60,1.9188439182471484e-05,6.25e-06,1.5242095287248958e-05
61,1.9193430489394814e-05,6.25e-06,1.656549284234643e-05
62,1.9477931346045807e-05,6.25e-06,1.8272019588039257e-05
63,1.8728445866145194e-05,6.25e-06,1.797119875845965e-05
64,1.8902477677329443e-05,6.25e-06,1.6133690223796293e-05
65,1.9263081412645988e-05,6.25e-06,1.7020993254845962e-05
66,1.8949949662783183e-05,3.125e-06,1.683738264546264e-05
67,1.9372797396499664e-05,3.125e-06,1.644424810365308e-05
68,1.928051460708957e-05,3.125e-06,1.6094247257569805e-05
69,1.86333400051808e-05,3.125e-06,1.6469468391733244e-05
70,1.882541437225882e-05,3.125e-06,1.695028186077252e-05
71,1.8902524971053936e-05,3.125e-06,1.53191158460686e-05
72,1.890535349957645e-05,3.125e-06,1.54581884999061e-05
73,1.8829710825229995e-05,1.5625e-06,1.5933075701468624e-05
74,1.8957980500999838e-05,1.5625e-06,1.6568994396948256e-05
75,1.92124043678632e-05,1.5625e-06,1.659226654737722e-05
76,1.860628617578186e-05,1.5625e-06,1.649551086302381e-05
77,1.8585240468382835e-05,1.5625e-06,1.605509351065848e-05
78,1.8953940525534563e-05,1.5625e-06,1.759514634613879e-05
79,1.8616763554746285e-05,1.5625e-06,1.5368905224022456e-05
80,1.857149982242845e-05,7.8125e-07,1.5769403034937568e-05
